branch_id,month,region,sales_jpy,price_change_flag,income_band,avg_temp_c,foot_traffic,manager_tenure_months
BR_0032,2025-04,East,4822681,1,Mid,12.0,16971,117
BR_0033,2024-04,West,4991665,1,Mid,25.7,12863,90
BR_0033,2025-04,North,4581893,1,Mid,24.6,17399,68
BR_0034,2024-04,West,5034544,1,High,23.2,15141,100
BR_0034,2025-04,East,4742348,1,High,27.6,14258,74
BR_0035,2024-04,South,4734483,1,Mid,12.9,13501,94
BR_0035,2025-04,East,5057267,1,Mid,28.9,12978,15
BR_0036,2024-04,North,4848055,0,Mid,25.5,14032,116
BR_0036,2025-04,South,4861495,0,Mid,16.2,16831,110
BR_0037,2024-04,North,5041201,1,Mid,29.2,12077,41
BR_0037,2025-04,North,4937783,1,Mid,11.2,16375,29
BR_0038,2024-04,South,5109092,0,Mid,15.9,17753,111
BR_0038,2025-04,South,4585675,0,Mid,26.6,9935,90
BR_0039,2024-04,East,4975792,0,High,26.0,10442,42
BR_0039,2025-04,West,5191757,0,High,21.8,12108,120
BR_0040,2024-04,East,4761435,0,High,17.6,12119,86
BR_0040,2025-04,North,5032447,0,High,18.4,10519,75
BR_0041,2024-04,South,5091246,0,Mid,20.4,17894,62
BR_0041,2025-04,North,4871615,0,Mid,10.9,10284,86
BR_0042,2024-04,North,5082744,0,Mid,11.9,14571,14
BR_0042,2025-04,South,4862078,0,Mid,11.4,12203,51
BR_0043,2024-04,North,4783375,0,High,26.2,16142,34
BR_0043,2025-04,North,4652387,0,High,22.3,14940,43
BR_0044,2024-04,East,4827811,1,Mid,24.4,13196,44
BR_0044,2025-04,West,5048612,1,Mid,12.6,17420,16
BR_0045,2024-04,South,5088799,1,High,17.3,12059,95
BR_0045,2025-04,South,4943917,1,High,28.7,14386,99
BR_0046,2024-04,South,5098323,0,Mid,15.9,13481,110
BR_0046,2025-04,West,4536272,0,Mid,26.1,10285,50
BR_0047,2024-04,East,4660712,1,Low,10.7,14582,76
BR_0047,2025-04,South,3615752,1,Low,19.8,17175,50
BR_0048,2024-04,East,4850883,1,Mid,24.6,10381,28
BR_0048,2025-04,South,5025611,1,Mid,28.9,10773,96
BR_0049,2024-04,West,4873168,1,Low,19.3,13935,44
BR_0049,2025-04,South,3741596,1,Low,12.5,12062,104
BR_0050,2024-04,North,5024770,0,Low,13.2,12123,31
BR_0050,2025-04,East,4979512,0,Low,18.2,16744,97
BR_0051,2024-04,West,4724409,1,High,11.4,11636,18
BR_0051,2025-04,South,4809225,1,High,25.4,9452,82
BR_0052,2024-04,North,4682455,0,Mid,14.1,13267,16
BR_0052,2025-04,South,4571120,0,Mid,27.4,11643,67
BR_0053,2024-04,West,4600603,1,Low,25.1,16932,95
BR_0053,2025-04,North,3830233,1,Low,25.0,9746,38
BR_0054,2024-04,North,4981464,1,Low,18.5,12184,68
BR_0054,2025-04,North,3416913,1,Low,18.5,14118,115
BR_0055,2024-04,East,4916750,1,High,26.8,10541,81
BR_0055,2025-04,East,4927623,1,High,18.1,11360,81
BR_0056,2024-04,East,5143025,1,Mid,13.9,15468,66
BR_0056,2025-04,South,4736327,1,Mid,13.7,14572,30
BR_0057,2024-04,West,4668933,1,Mid,11.7,12603,109
BR_0057,2025-04,West,5161972,1,Mid,23.2,9679,110
BR_0058,2024-04,North,4554739,0,Low,28.0,15794,66
BR_0058,2025-04,North,4505980,0,Low,17.0,16047,117
BR_0059,2024-04,South,5080455,0,Low,23.6,14806,69
BR_0059,2025-04,North,4801522,0,Low,26.7,14377,30
BR_0060,2024-04,West,4899226,0,High,28.5,12162,113
BR_0060,2025-04,East,5169146,0,High,14.7,9165,90
BR_0061,2024-04,West,5048941,1,Low,25.5,15377,26
BR_0061,2025-04,East,3513024,1,Low,10.7,15860,116
BR_0062,2024-04,West,5159848,0,High,13.4,11612,91
BR_0062,2025-04,West,4922612,0,High,24.8,14617,7
BR_0063,2024-04,East,4933498,0,High,25.0,17175,36
BR_0063,2025-04,East,5079345,0,High,11.9,12714,13
BR_0064,2024-04,West,4972423,1,High,22.4,16443,73
BR_0064,2025-04,North,4988679,1,High,26.0,10637,45
BR_0065,2024-04,South,4687679,1,High,18.9,17731,23
BR_0065,2025-04,South,4797921,1,High,25.8,14875,90
BR_0066,2024-04,South,4809098,0,Mid,22.7,15191,69
BR_0066,2025-04,East,4755432,0,Mid,18.9,10385,72
BR_0067,2024-04,South,5155920,1,Low,11.5,11283,55
BR_0067,2025-04,West,3472612,1,Low,21.4,15978,70
BR_0068,2024-04,South,4809624,1,Low,11.9,14679,82
BR_0068,2025-04,North,3730253,1,Low,21.9,15784,74
BR_0069,2024-04,West,5093423,1,High,22.4,16700,112
BR_0069,2025-04,West,5109985,1,High,11.5,17689,94
BR_0070,2024-04,North,4716576,0,High,18.2,13597,109
BR_0070,2025-04,West,5089276,0,High,24.1,16019,29
BR_0071,2024-04,North,4588679,1,Mid,27.4,15301,82
BR_0071,2025-04,North,4727375,1,Mid,14.1,15117,80
BR_0072,2024-04,West,4705670,0,Low,23.2,10690,22
BR_0072,2025-04,South,4802180,0,Low,27.2,12631,104
BR_0073,2024-04,North,4824737,0,Mid,29.4,14818,11
BR_0073,2025-04,South,4585656,0,Mid,12.1,16092,87
BR_0074,2024-04,North,4541869,1,Low,23.3,9743,46
BR_0074,2025-04,South,4000336,1,Low,21.0,15113,82
BR_0075,2024-04,South,4938079,0,Mid,18.1,10343,112
BR_0075,2025-04,South,4713977,0,Mid,24.2,10157,46
BR_0076,2024-04,East,4819936,1,Low,24.2,15005,78
BR_0076,2025-04,South,3794870,1,Low,13.1,11044,41
BR_0077,2024-04,South,5195749,0,Low,18.7,16833,105
BR_0077,2025-04,West,4825125,0,Low,18.6,11719,12
BR_0078,2024-04,North,4839341,1,Mid,10.0,13540,94
BR_0078,2025-04,South,4746120,1,Mid,28.3,9508,12
BR_0079,2024-04,North,4678003,0,Mid,15.4,12727,117
BR_0079,2025-04,South,4535281,0,Mid,17.1,17311,32
BR_0080,2024-04,South,4668695,0,High,17.4,14910,40
BR_0080,2025-04,East,4766184,0,High,10.4,15606,96
BR_0081,2024-04,South,4988342,0,High,13.7,13652,97
BR_0081,2025-04,North,4566866,0,High,16.1,15813,71
BR_0082,2024-04,West,4595862,0,High,11.4,16350,68
BR_0082,2025-04,North,4841174,0,High,21.9,16218,29
BR_0083,2024-04,South,4813317,0,Mid,22.2,13439,41
BR_0083,2025-04,North,4725627,0,Mid,19.5,15098,71
BR_0084,2024-04,East,4679314,1,High,16.4,11329,44
BR_0084,2025-04,West,4795530,1,High,21.5,15109,66
BR_0085,2024-04,North,5063754,1,Mid,14.6,9451,9
BR_0085,2025-04,North,4773144,1,Mid,22.7,11014,20
BR_0086,2024-04,South,5198163,0,Low,24.2,11646,111
BR_0086,2025-04,East,4672805,0,Low,11.7,11376,32
BR_0087,2024-04,East,4526246,1,Mid,27.5,15636,61
BR_0087,2025-04,North,4503319,1,Mid,15.3,11454,28
BR_0088,2024-04,North,5166109,0,Low,14.4,14075,76
BR_0088,2025-04,East,4671695,0,Low,26.0,12760,78
BR_0089,2024-04,South,4930539,1,Low,11.8,14700,88
BR_0089,2025-04,East,3591455,1,Low,19.4,12035,9
BR_0090,2024-04,East,4511344,0,Mid,12.2,12569,105
BR_0090,2025-04,East,4670457,0,Mid,16.6,12721,71
BR_0091,2024-04,West,5162787,1,High,19.7,11429,19
BR_0091,2025-04,East,4581853,1,High,16.7,16650,99
BR_0092,2024-04,North,4634961,0,High,25.8,17838,51
BR_0092,2025-04,North,4990598,0,High,12.9,9933,92
BR_0093,2024-04,North,4698854,0,Low,20.3,11110,55
BR_0093,2025-04,North,4741997,0,Low,21.9,9153,50
BR_0094,2024-04,South,5124385,0,Low,14.5,12973,98
BR_0094,2025-04,South,5081315,0,Low,26.2,17602,118
BR_0095,2024-04,East,4701641,1,Mid,22.3,9169,68
BR_0095,2025-04,North,4901697,1,Mid,12.0,15315,39
BR_0096,2024-04,South,5068302,1,High,12.3,15395,110
BR_0096,2025-04,West,5020013,1,High,11.9,13086,48
BR_0097,2024-04,West,5057589,1,Mid,23.8,14742,49
BR_0097,2025-04,West,4811291,1,Mid,24.2,15498,29
BR_0098,2024-04,East,5123638,0,Mid,10.3,12585,119
BR_0098,2025-04,West,5173514,0,Mid,13.8,16202,51
BR_0099,2024-04,East,4944069,1,High,26.8,13360,66
BR_0099,2025-04,West,4987982,1,High,12.0,15538,9
BR_0100,2024-04,South,4734768,0,Mid,29.1,17773,100
BR_0100,2025-04,South,4966317,0,Mid,26.3,10944,103
BR_0101,2024-04,North,4950140,1,Low,24.9,16106,31
BR_0101,2025-04,East,3772826,1,Low,28.1,17497,9
BR_0102,2024-04,South,5063057,0,High,15.5,9640,109
BR_0102,2025-04,West,4834754,0,High,26.6,10444,7
BR_0103,2024-04,East,5106673,0,Mid,28.6,17473,80
BR_0103,2025-04,North,5194190,0,Mid,17.6,17152,34
BR_0104,2024-04,West,4518280,1,Mid,22.6,12744,108
BR_0104,2025-04,South,4737325,1,Mid,12.4,15661,12
BR_0105,2024-04,North,4518059,1,Mid,18.9,16630,111
BR_0105,2025-04,West,4717216,1,Mid,14.2,11736,80
BR_0106,2024-04,South,5177225,1,Mid,23.4,14253,85
BR_0106,2025-04,East,4538775,1,Mid,10.1,15064,96
BR_0107,2024-04,East,4742169,0,Mid,22.3,10476,67
BR_0107,2025-04,North,4984863,0,Mid,22.5,10457,16
BR_0108,2024-04,North,4549131,0,High,27.5,15068,53
BR_0108,2025-04,West,5111660,0,High,13.2,12208,19
BR_0109,2024-04,West,5111561,1,High,26.9,17041,36
BR_0109,2025-04,West,4752887,1,High,23.4,9515,73
BR_0110,2024-04,West,5053900,1,High,24.2,9199,54
BR_0110,2025-04,South,4872998,1,High,23.7,17199,41
BR_0111,2024-04,West,4798090,0,Low,15.4,12218,20
BR_0111,2025-04,West,4686202,0,Low,11.0,14421,82
BR_0112,2024-04,East,4965564,0,High,13.4,11668,62
BR_0112,2025-04,North,5133079,0,High,27.4,13480,81
BR_0113,2024-04,West,4944842,0,High,11.5,12377,112
BR_0113,2025-04,North,4670075,0,High,14.3,14539,63
BR_0114,2024-04,East,4569810,0,High,10.3,13376,100
BR_0114,2025-04,North,4794919,0,High,12.8,14899,61
BR_0115,2024-04,North,4664358,0,Mid,23.7,14364,29
BR_0115,2025-04,North,5047405,0,Mid,28.0,17773,31
BR_0116,2024-04,East,4982415,0,High,21.6,10908,66
BR_0116,2025-04,East,5007734,0,High,26.9,10795,48
BR_0117,2024-04,West,5086022,0,High,14.1,11907,108
BR_0117,2025-04,East,4717417,0,High,13.7,15560,110
BR_0118,2024-04,West,4891144,1,Low,21.1,15222,7
BR_0118,2025-04,West,4216098,1,Low,22.5,16604,108
BR_0119,2024-04,South,4645161,1,High,21.5,15372,29
BR_0119,2025-04,East,4906248,1,High,28.6,17494,103
BR_0120,2024-04,West,4987942,0,Low,23.5,12509,94
BR_0120,2025-04,South,4656050,0,Low,25.5,14297,47
BR_0121,2024-04,East,4951654,1,Mid,23.5,14803,64
BR_0121,2025-04,East,5134874,1,Mid,12.2,17383,83
BR_0122,2024-04,North,4914979,1,Low,22.6,9303,68
BR_0122,2025-04,East,3552306,1,Low,16.1,10080,73
BR_0123,2024-04,North,5012230,0,High,29.6,17368,50
BR_0123,2025-04,South,4918431,0,High,21.8,12796,62
BR_0124,2024-04,South,5096555,1,Low,27.6,17067,26
BR_0124,2025-04,South,3363776,1,Low,27.0,14748,69
BR_0125,2024-04,West,5104642,0,Low,15.3,12349,34
BR_0125,2025-04,South,5009381,0,Low,27.2,17267,19
BR_0126,2024-04,East,4776962,0,Mid,12.6,11468,95
BR_0126,2025-04,South,4987725,0,Mid,29.0,15563,16
BR_0127,2024-04,East,4708306,1,High,22.2,16725,21
BR_0127,2025-04,West,5091491,1,High,17.4,10746,27
BR_0128,2024-04,West,4939425,0,Low,29.4,14337,83
BR_0128,2025-04,North,4996524,0,Low,11.8,14984,114
BR_0129,2024-04,South,4661240,0,High,17.6,9219,83
BR_0129,2025-04,South,5091465,0,High,25.2,17310,52
BR_0130,2024-04,West,4724941,0,Mid,27.3,15901,62
BR_0130,2025-04,North,4517528,0,Mid,20.9,15941,8
BR_0131,2024-04,South,5050147,1,Low,27.8,9916,23
BR_0131,2025-04,West,3612305,1,Low,13.9,15445,84
BR_0132,2024-04,North,4898206,0,High,20.8,16893,94
BR_0132,2025-04,North,4627661,0,High,11.5,11013,101
BR_0133,2024-04,South,5195951,1,High,24.9,17777,114
BR_0133,2025-04,East,4594819,1,High,26.8,10553,89
BR_0134,2024-04,South,4751959,0,Mid,24.1,12740,95
BR_0134,2025-04,West,4834311,0,Mid,11.6,9422,41
BR_0135,2024-04,South,4586319,0,High,25.3,16389,117
BR_0135,2025-04,North,4577833,0,High,21.3,11120,76
BR_0136,2024-04,West,4603759,0,Low,20.9,13638,62
BR_0136,2025-04,South,4603056,0,Low,29.3,12906,90
BR_0137,2024-04,North,4667336,1,High,10.6,11123,42
BR_0137,2025-04,East,4860054,1,High,28.0,17365,22
BR_0138,2024-04,West,4533613,0,Mid,14.3,12691,51
BR_0138,2025-04,East,4789195,0,Mid,20.0,12324,114
BR_0139,2024-04,West,4715964,1,Low,11.5,17298,52
BR_0139,2025-04,East,4101618,1,Low,20.9,17264,55
BR_0140,2024-04,South,4528449,1,Mid,10.3,9178,102
BR_0140,2025-04,South,5146036,1,Mid,23.8,14599,97
BR_0141,2024-04,North,5137380,1,Low,11.8,14638,42
BR_0141,2025-04,East,3689118,1,Low,12.6,9391,61
BR_0142,2024-04,West,4778282,1,High,10.6,16748,50
BR_0142,2025-04,South,4853206,1,High,17.9,17888,97
BR_0143,2024-04,West,4873167,0,High,24.5,12368,58
BR_0143,2025-04,West,5076902,0,High,10.0,15335,63
BR_0144,2024-04,South,5151010,0,Mid,24.7,9643,33
BR_0144,2025-04,West,4702599,0,Mid,29.7,9586,92
BR_0145,2024-04,South,5079143,0,Mid,24.1,13176,66
BR_0145,2025-04,East,4795602,0,Mid,24.6,14079,9
BR_0146,2024-04,South,5112549,1,Mid,24.3,9424,32
BR_0146,2025-04,East,4574102,1,Mid,11.8,9702,70
BR_0147,2024-04,South,5118651,1,Mid,16.6,12919,37
BR_0147,2025-04,North,5118732,1,Mid,10.4,17931,27
BR_0148,2024-04,North,5037652,1,Mid,10.1,15842,60
BR_0148,2025-04,East,4660655,1,Mid,15.2,16010,81
BR_0149,2024-04,East,4696985,0,Low,17.7,10797,95
BR_0149,2025-04,South,4573714,0,Low,26.2,15187,18
BR_0150,2024-04,East,4564260,0,High,17.0,14008,89
BR_0150,2025-04,East,4731831,0,High,19.1,14392,74
BR_0151,2024-04,South,5123502,1,Mid,19.8,12977,22
BR_0151,2025-04,East,4639108,1,Mid,26.7,13066,52
BR_0152,2024-04,South,4943374,0,Low,21.1,13847,107
BR_0152,2025-04,North,5033520,0,Low,12.9,16564,108
BR_0153,2024-04,North,4636815,0,Low,11.3,14631,92
BR_0153,2025-04,North,4892495,0,Low,13.0,15841,108
BR_0154,2024-04,South,4703639,0,Low,23.6,9101,53
BR_0154,2025-04,North,4874981,0,Low,21.4,11265,108
BR_0155,2024-04,South,4937930,0,Mid,19.4,16251,88
BR_0155,2025-04,North,4694325,0,Mid,11.3,17522,110
BR_0156,2024-04,North,4835265,1,High,21.2,10665,87
BR_0156,2025-04,East,4673206,1,High,15.5,11260,92
BR_0157,2024-04,North,4714531,1,Low,24.4,13219,102
BR_0157,2025-04,East,3599998,1,Low,15.0,12136,108
BR_0158,2024-04,West,5074737,1,Mid,12.2,15355,107
BR_0158,2025-04,West,4998199,1,Mid,22.6,13320,118
BR_0159,2024-04,South,4957286,0,High,21.6,15124,59
BR_0159,2025-04,West,4553546,0,High,26.9,17263,83
BR_0160,2024-04,North,4553676,0,Mid,19.0,12995,31
BR_0160,2025-04,South,4532842,0,Mid,25.1,16223,67
BR_0161,2024-04,North,4913970,0,High,15.1,10025,85
BR_0161,2025-04,East,4792605,0,High,16.1,15786,9
BR_0162,2024-04,West,4741151,1,High,14.5,15291,59
BR_0162,2025-04,South,4529278,1,High,14.6,11641,50
BR_0163,2024-04,West,4935186,1,High,22.5,17102,92
BR_0163,2025-04,North,4559834,1,High,24.9,13342,93
BR_0164,2024-04,East,4989289,0,Low,12.8,16504,58
BR_0164,2025-04,South,4875663,0,Low,22.7,15736,27
BR_0165,2024-04,North,5160634,0,Mid,14.5,15501,44
BR_0165,2025-04,East,5008756,0,Mid,16.3,10267,31
BR_0166,2024-04,South,4934218,0,High,21.5,15093,9
BR_0166,2025-04,East,4518014,0,High,19.5,14985,31
BR_0167,2024-04,West,4574231,1,Low,12.9,15307,95
BR_0167,2025-04,North,4047734,1,Low,21.1,10274,54
BR_0168,2024-04,South,5151582,0,High,18.8,12533,118
BR_0168,2025-04,West,5173804,0,High,13.0,17127,70
BR_0169,2024-04,East,4983556,0,Mid,19.1,17363,59
BR_0169,2025-04,West,5074246,0,Mid,12.2,9797,119
BR_0170,2024-04,North,4853569,1,Low,17.3,10197,71
BR_0170,2025-04,West,3582656,1,Low,14.9,11914,60
BR_0171,2024-04,West,4797252,1,Mid,15.1,14414,82
BR_0171,2025-04,East,4959384,1,Mid,25.7,15378,59
BR_0172,2024-04,West,4544187,0,Mid,28.2,16251,45
BR_0172,2025-04,East,4535884,0,Mid,20.9,14148,31
BR_0173,2024-04,South,4674739,0,Low,19.7,13261,93
BR_0173,2025-04,North,5097947,0,Low,22.3,16947,61
BR_0174,2024-04,East,4529975,0,Mid,18.7,17564,89
BR_0174,2025-04,West,4583813,0,Mid,21.3,9987,75
BR_0175,2024-04,South,4831481,0,High,25.6,17458,96
BR_0175,2025-04,South,4898581,0,High,19.7,17655,29
BR_0176,2024-04,West,4840238,0,High,12.4,10727,25
BR_0176,2025-04,West,4933430,0,High,10.4,12732,74
BR_0177,2024-04,North,5092610,1,High,14.4,12580,108
BR_0177,2025-04,East,4868441,1,High,14.7,10118,67
BR_0178,2024-04,West,5030948,1,Low,28.7,12177,101
BR_0178,2025-04,South,3617350,1,Low,16.2,11121,74
BR_0179,2024-04,West,4559339,1,Low,29.1,16613,31
BR_0179,2025-04,South,3739546,1,Low,25.3,16883,52
BR_0180,2024-04,West,5176143,1,Low,22.5,11107,21
BR_0180,2025-04,South,3802330,1,Low,22.7,14672,114
BR_0181,2024-04,North,4708623,1,High,19.3,10864,49
BR_0181,2025-04,East,5181184,1,High,26.2,17277,107
BR_0182,2024-04,West,4849014,0,Low,11.9,10948,12
BR_0182,2025-04,North,4816885,0,Low,26.2,11443,110
BR_0183,2024-04,South,5042749,1,Mid,29.2,13232,43
BR_0183,2025-04,South,4778136,1,Mid,24.5,10679,37
BR_0184,2024-04,South,4822670,1,Low,27.9,9916,51
BR_0184,2025-04,South,3846763,1,Low,17.3,11491,109
BR_0185,2024-04,East,4594074,1,Low,16.8,16458,106
BR_0185,2025-04,South,3755339,1,Low,24.3,15269,91
BR_0186,2024-04,West,4783279,0,Mid,14.4,15284,88
BR_0186,2025-04,West,4578896,0,Mid,22.4,15521,21
BR_0187,2024-04,North,4536167,0,Mid,26.8,16800,30
BR_0187,2025-04,South,4939718,0,Mid,27.1,11630,84
BR_0188,2024-04,West,4678654,1,Mid,19.5,16817,31
BR_0188,2025-04,East,4799977,1,Mid,21.6,9115,15
BR_0189,2024-04,West,4862038,1,High,16.7,12671,39
BR_0189,2025-04,North,5049732,1,High,21.4,15485,100
BR_0190,2024-04,West,4612033,1,Mid,19.6,10914,61
BR_0190,2025-04,North,4839799,1,Mid,12.9,13188,26
BR_0191,2024-04,South,5005887,0,High,17.0,16915,91
BR_0191,2025-04,South,4818526,0,High,14.0,10004,41
BR_0192,2024-04,South,4900379,1,High,21.6,9151,81
BR_0192,2025-04,South,4874182,1,High,17.8,16491,21
BR_0193,2024-04,East,4866242,1,Mid,25.9,17412,72
BR_0193,2025-04,West,5069621,1,Mid,22.3,9345,111
BR_0194,2024-04,North,4628989,1,Low,23.6,14803,108
BR_0194,2025-04,East,3500396,1,Low,29.1,13908,77
BR_0195,2024-04,East,5008712,1,Mid,25.8,13713,25
BR_0195,2025-04,North,4700901,1,Mid,28.6,15245,11
BR_0196,2024-04,North,4618107,1,Mid,10.3,16747,12
BR_0196,2025-04,West,4575287,1,Mid,25.8,17896,39
BR_0197,2024-04,West,4840804,1,Mid,13.8,17448,30
BR_0197,2025-04,West,4601505,1,Mid,16.1,14268,91
BR_0198,2024-04,East,5147856,1,Low,27.2,11804,96
BR_0198,2025-04,West,3344503,1,Low,13.5,10237,38
BR_0199,2024-04,East,4588198,1,Low,28.4,14782,23
BR_0199,2025-04,South,4242829,1,Low,12.4,17683,53
BR_0200,2024-04,North,4995508,0,High,19.0,10919,113
BR_0200,2025-04,North,5016126,0,High,11.2,10080,69
BR_0201,2024-04,North,5112832,0,Mid,16.4,12129,55
BR_0201,2025-04,North,4991653,0,Mid,17.5,15010,63
BR_0202,2024-04,South,4780627,1,High,24.1,16677,94
BR_0202,2025-04,East,4739189,1,High,13.5,16708,107
BR_0203,2024-04,West,4800470,0,Low,14.9,15186,29
BR_0203,2025-04,East,5032168,0,Low,21.0,16257,38
BR_0204,2024-04,South,4883389,0,High,18.2,17551,77
BR_0204,2025-04,East,4515690,0,High,28.8,11684,11
BR_0205,2024-04,North,5103877,0,High,15.6,14746,86
BR_0205,2025-04,East,5049390,0,High,15.0,12017,76
BR_0206,2024-04,East,5147912,1,Low,11.5,9460,8
BR_0206,2025-04,West,4135585,1,Low,17.7,10398,95
BR_0207,2024-04,South,4503403,1,Mid,20.6,14554,106
BR_0207,2025-04,South,5196310,1,Mid,14.7,11882,18
BR_0208,2024-04,West,4615270,0,Mid,29.1,13902,12
BR_0208,2025-04,South,5188370,0,Mid,29.3,15795,50
BR_0209,2024-04,North,5129447,0,Mid,18.3,16398,106
BR_0209,2025-04,North,5103953,0,Mid,13.2,9483,68
BR_0210,2024-04,South,5187117,1,Mid,13.3,15549,73
BR_0210,2025-04,South,4955216,1,Mid,24.6,13393,80
BR_0211,2024-04,West,4709319,0,High,28.4,9503,37
BR_0211,2025-04,East,4733403,0,High,15.1,16053,116
BR_0212,2024-04,South,5148726,1,Mid,11.3,10568,6
BR_0212,2025-04,South,5117086,1,Mid,12.9,16562,34
BR_0213,2024-04,South,4801090,0,Low,20.3,15523,49
BR_0213,2025-04,East,4644912,0,Low,13.5,15752,101
BR_0214,2024-04,West,4922325,1,Low,12.1,13093,58
BR_0214,2025-04,South,3855390,1,Low,18.1,11791,15
BR_0215,2024-04,North,5002927,0,High,22.5,16860,30
BR_0215,2025-04,East,5045584,0,High,21.5,15935,41
BR_0216,2024-04,West,4835435,1,Mid,15.8,14872,85
BR_0216,2025-04,West,5161049,1,Mid,13.8,12328,55
BR_0217,2024-04,North,5025106,1,High,29.0,11783,35
BR_0217,2025-04,East,4897062,1,High,13.1,10539,115
BR_0218,2024-04,South,5093177,0,High,15.5,9277,103
BR_0218,2025-04,South,5141312,0,High,10.8,9376,102
BR_0219,2024-04,North,4938432,0,Low,10.7,11312,110
BR_0219,2025-04,North,4899435,0,Low,22.7,13649,68
BR_0220,2024-04,South,4850018,0,High,10.8,17324,19
BR_0220,2025-04,North,5078828,0,High,12.2,13255,73
BR_0221,2024-04,East,5134896,1,Low,24.3,13587,14
BR_0221,2025-04,South,3758539,1,Low,27.9,17303,94
BR_0222,2024-04,East,5094591,1,Mid,12.3,15511,73
BR_0222,2025-04,West,4708553,1,Mid,22.8,15395,93
BR_0223,2024-04,South,4856715,0,Low,20.3,12476,34
